  host_address host_sn   esxi_address   esxi_version             switch_name switch_ip            host_port  vmnic  switch_port host_mtu switch_mtu
10.113.192.126 D8P25K3 10.113.192.154 7.0.2 17867351 ABQNM0001E-CS0101-LF812   0.0.0.0 NIC.Integrated.1-3-1 vmnic2 Ethernet1/45     1500       9000
10.113.192.126 D8P25K3 10.113.192.154 7.0.2 17867351 ABQNM0001E-CS0101-LF811   0.0.0.0       NIC.Slot.2-1-1 vmnic4 Ethernet1/13     1500       9000
10.113.192.126 D8P25K3 10.113.192.154 7.0.2 17867351 ABQNM0001E-CS0101-LF812   0.0.0.0       NIC.Slot.2-2-1 vmnic5 Ethernet1/13     1500       9000
10.113.192.126 D8P25K3 10.113.192.154 7.0.2 17867351 ABQNM0001E-CS0101-LF812   0.0.0.0       NIC.Slot.7-1-1 vmnic6 Ethernet1/14     1500       9000
10.113.192.126 D8P25K3 10.113.192.154 7.0.2 17867351 ABQNM0001E-CS0101-LF811   0.0.0.0       NIC.Slot.7-2-1 vmnic7 Ethernet1/14     1500       9000
10.113.192.124 17P25K3 10.113.192.157 7.0.2 17867351 ABQNM0001E-CS0101-LF812   0.0.0.0 NIC.Integrated.1-3-1 vmnic2 Ethernet1/47     1500       9000
10.113.192.124 17P25K3 10.113.192.157 7.0.2 17867351 ABQNM0001E-CS0101-LF811   0.0.0.0       NIC.Slot.2-1-1 vmnic4  Ethernet1/9     1500       9000
10.113.192.124 17P25K3 10.113.192.157 7.0.2 17867351 ABQNM0001E-CS0101-LF812   0.0.0.0       NIC.Slot.2-2-1 vmnic5  Ethernet1/9     1500       9000
10.113.192.124 17P25K3 10.113.192.157 7.0.2 17867351 ABQNM0001E-CS0101-LF812   0.0.0.0       NIC.Slot.7-1-1 vmnic6 Ethernet1/10     1500       9000
10.113.192.124 17P25K3 10.113.192.157 7.0.2 17867351 ABQNM0001E-CS0101-LF811   0.0.0.0       NIC.Slot.7-2-1 vmnic7 Ethernet1/10     1500       9000
10.113.192.125 C8P25K3 10.113.192.156 7.0.2 17867351 ABQNM0001E-CS0101-LF812   0.0.0.0 NIC.Integrated.1-3-1 vmnic2 Ethernet1/46     1500       9000
10.113.192.125 C8P25K3 10.113.192.156 7.0.2 17867351 ABQNM0001E-CS0101-LF811   0.0.0.0       NIC.Slot.2-1-1 vmnic4 Ethernet1/11     1500       9000
10.113.192.125 C8P25K3 10.113.192.156 7.0.2 17867351 ABQNM0001E-CS0101-LF812   0.0.0.0       NIC.Slot.2-2-1 vmnic5 Ethernet1/11     1500       9000
10.113.192.125 C8P25K3 10.113.192.156 7.0.2 17867351 ABQNM0001E-CS0101-LF812   0.0.0.0       NIC.Slot.7-1-1 vmnic6 Ethernet1/12     1500       9000
10.113.192.125 C8P25K3 10.113.192.156 7.0.2 17867351 ABQNM0001E-CS0101-LF811   0.0.0.0       NIC.Slot.7-2-1 vmnic7 Ethernet1/12     1500       9000
10.113.192.123 F8P25K3 10.113.192.155 7.0.2 17867351 ABQNM0001E-CS0101-LF812   0.0.0.0 NIC.Integrated.1-3-1 vmnic2 Ethernet1/48     1500       9000
10.113.192.123 F8P25K3 10.113.192.155 7.0.2 17867351 ABQNM0001E-CS0101-LF811   0.0.0.0       NIC.Slot.2-1-1 vmnic4  Ethernet1/7     1500       9000
10.113.192.123 F8P25K3 10.113.192.155 7.0.2 17867351 ABQNM0001E-CS0101-LF812   0.0.0.0       NIC.Slot.2-2-1 vmnic5  Ethernet1/7     1500       9000
10.113.192.123 F8P25K3 10.113.192.155 7.0.2 17867351 ABQNM0001E-CS0101-LF812   0.0.0.0       NIC.Slot.7-1-1 vmnic6  Ethernet1/8     1500       9000
10.113.192.123 F8P25K3 10.113.192.155 7.0.2 17867351 ABQNM0001E-CS0101-LF811   0.0.0.0       NIC.Slot.7-2-1 vmnic7  Ethernet1/8     1500       9000
